Gene,DataPlot,
1,10,
2,10,
3,6,
4,9,
5,1,
6,4,
7,3,
8,3,
9,4,
10,1,
11,5,
12,3,
13,8,
14,7,
15,4,
16,2,
17,3,
18,5,
19,8,
20,6,
21,7,
22,5,
23,5,
24,5,
25,10,
26,7,
27,9,
28,6,
29,3,
30,10,
31,6,
32,7,
33,9,
34,4,
35,2,
36,7,
37,5,
38,1,
39,4,
40,8,
41,10,
42,7,
43,7,
44,2,
45,3,
46,5,
47,5,
48,1,
49,9,
50,4,
51,2,
52,2,
53,9,
54,1,
55,3,
56,10,
57,1,
58,7,
59,8,
60,9,
61,1,
62,4,
63,3,
64,3,
65,3,
66,3,
67,1,
68,5,
69,10,
70,1,
71,10,
72,10,
73,2,
74,2,
75,4,
76,4,
77,6,
78,3,
79,5,
80,2,
81,5,
82,1,
83,2,
84,4,
85,8,
86,8,
87,7,
88,7,
89,8,
90,7,
91,4,
92,9,
93,7,
94,3,
95,8,
96,8,
97,10,
98,5,
99,6,
100,4,
