"Gene","DataPlot"
"1",10
"2",2
"3",4
"4",9
"5",9
"6",10
"7",4
"8",4
"9",3
"10",10
"11",2
"12",2
"13",2
"14",3
"15",8
"16",8
"17",9
"18",3
"19",9
"20",1
"21",3
"22",8
"23",8
"24",1
"25",4
"26",10
"27",3
"28",6
"29",9
"30",7
"31",3
"32",10
"33",2
"34",6
"35",3
"36",8
"37",10
"38",4
"39",2
"40",7
"41",6
"42",2
"43",6
"44",5
"45",9
"46",3
"47",6
"48",8
"49",6
"50",8
"51",4
"52",4
"53",3
"54",10
"55",9
"56",6
"57",10
"58",7
"59",4
"60",2
"61",6
"62",5
"63",4
"64",9
"65",9
"66",5
"67",10
"68",5
"69",9
"70",9
"71",4
"72",3
"73",5
"74",9
"75",3
"76",3
"77",7
"78",7
"79",7
"80",4
"81",8
"82",1
"83",2
"84",2
"85",2
"86",7
"87",6
"88",8
"89",2
"90",3
"91",10
"92",7
"93",2
"94",3
"95",10
"96",2
"97",8
"98",8
"99",2
"100",3
