"Gene","DataPlot"
"1",10
"2",9
"3",2
"4",10
"5",7
"6",9
"7",4
"8",3
"9",5
"10",4
"11",3
"12",2
"13",9
"14",8
"15",5
"16",10
"17",1
"18",5
"19",1
"20",8
"21",9
"22",8
"23",1
"24",6
"25",7
"26",2
"27",7
"28",6
"29",1
"30",7
"31",6
"32",1
"33",4
"34",9
"35",8
"36",4
"37",8
"38",6
"39",6
"40",1
"41",3
"42",4
"43",10
"44",8
"45",2
"46",7
"47",1
"48",4
"49",3
"50",6
"51",2
"52",10
"53",5
"54",9
"55",3
"56",7
"57",1
"58",2
"59",3
"60",5
"61",3
"62",9
"63",2
"64",8
"65",2
"66",1
"67",4
"68",10
"69",6
"70",8
"71",1
"72",8
"73",10
"74",2
"75",3
"76",7
"77",8
"78",9
"79",3
"80",2
"81",4
"82",2
"83",1
"84",7
"85",5
"86",6
"87",2
"88",9
"89",10
"90",7
"91",3
"92",7
"93",4
"94",10
"95",10
"96",1
"97",1
"98",10
"99",10
"100",1
