"Gene","DataPlot"
"1",6
"2",2
"3",10
"4",5
"5",8
"6",6
"7",5
"8",7
"9",8
"10",8
"11",2
"12",6
"13",4
"14",5
"15",5
"16",6
"17",4
"18",7
"19",9
"20",2
"21",10
"22",6
"23",8
"24",8
"25",5
"26",3
"27",10
"28",8
"29",3
"30",7
"31",3
"32",9
"33",10
"34",10
"35",8
"36",8
"37",9
"38",3
"39",3
"40",4
"41",3
"42",8
"43",10
"44",9
"45",9
"46",1
"47",1
"48",2
"49",6
"50",1
"51",10
"52",1
"53",2
"54",10
"55",6
"56",4
"57",9
"58",2
"59",4
"60",4
"61",6
"62",9
"63",7
"64",4
"65",2
"66",9
"67",8
"68",6
"69",4
"70",10
"71",9
"72",10
"73",4
"74",1
"75",3
"76",1
"77",1
"78",9
"79",10
"80",8
"81",3
"82",3
"83",3
"84",7
"85",1
"86",7
"87",10
"88",9
"89",7
"90",9
"91",8
"92",3
"93",4
"94",1
"95",5
"96",5
"97",3
"98",4
"99",2
"100",9
