"","ID","F.1","F.2","W.1","W.3","F.3","F.4","W.2","W.4","logFC","logCPM","PValue","FDR"
"1","PmetTSAr1.1-014194",21.5672491022926,7.6136010881866,37.7107820394862,13.4353716669092,0.978135424969899,2.42578184068614,4.04150665824708,4.25180129155936,-2.7725458084245,3.53195798868414,4.35211671118164e-07,0.00730198141802056
"2","PmetTSAr1.1-005061",2.9531917857911,2.60699181229736,2.2956823513273,1.92310221898896,34.4158760637557,314.638174041937,3.43736391036478,3.94410514545967,5.18610541845846,5.51616707907898,1.63316715227221e-06,0.0137006392404116
"3","PmetTSAr1.1-000063",12.4392017643928,4.82885983414169,7.97889597717414,6.40155944129203,80.6056044651121,23998.2121855581,1.58327064962257,8.86724348305472,9.57156710687007,11.5579860496626,4.49415056791347e-06,0.0245121950102367
"4","PmetTSAr1.1-014155",1667.47947104987,2.57736690533943,4.17142280911911,7.37628248379328,2.89817903694785,1.75988094324288,1.64576817526556,2.90912719948798,-7.50950712471549,7.72346427305511,5.84388961979656e-06,0.0245121950102367
"5","PmetTSAr1.1-001482",1.8345585335975,1.4516204409383,5.62722137337544,3.21395165365279,10.1798538672793,1562.0132480026,5.99976246172762,2.74129293797906,7.0238755763782,7.63743290126585,1.06265572578087e-05,0.0356584755343028
"6","PmetTSAr1.1-014843",17.4506787342201,4.97698436893132,55.7682834615119,21.6283139971224,172.876379553939,33189.737401667,6.70806775234824,26.8255094645094,8.38580391209076,12.0316920842853,1.46178388852446e-05,0.0408763501361056
"7","PmetTSAr1.1-000098",5.36943961052927,2.07374348705471,21.6410055801951,7.00746835960362,51.7324958095191,10787.4042811814,2.0415858376712,9.25885675990887,8.23108712159241,10.4102325076624,1.98697917605734e-05,0.0419816115280034
"8","PmetTSAr1.1-004353",4.47453300877439,5.45098288025811,3.16356226463396,2.44997953925991,2.53590665732937,1036.09423207189,12.3953425858609,7.1889008679655,6.0884250386029,7.06824051417233,2.0017456921208e-05,0.0419816115280034
"9","PmetTSAr1.1-014168",12.2602204440418,6.48785462378546,18.4214510630898,17.1235129088058,2.7894973230623,3.23437578758152,5.31228967965467,4.67138694533167,-1.75671130541937,3.14661916924071,2.36844524960367e-05,0.0441530826642781
"10","PmetTSAr1.1-013353",611.713407629548,6.45822971682754,4.367395692769,9.24669697075515,2.64458837121491,2.61603923995564,5.24979215401167,4.78327645300428,-5.36587707608075,6.33776054053872,2.65016505548475e-05,0.0444644693009231
"11","PmetTSAr1.1-014164",17.4954240643079,8.29497394821886,21.6410055801951,19.7578995101606,3.22422417860448,3.80514798539002,7.33304300877821,6.37770193733904,-1.69036481774701,3.46698200248829,6.13372276558401e-05,0.0935560005099714
"12","PmetTSAr1.1-001318",2.81895579552787,2.54774199838151,2.49165523497719,4.58383268635725,2.35477046752013,437.4493252704,3.74985153857976,3.3846576070966,5.16460200055348,5.84309407951651,7.81146141547e-05,0.10921724969063
"13","PmetTSAr1.1-000525",12.3497111042173,14.7828285720043,14.3060205064421,13.619778729004,16.8094384142975,1524.67523339596,14.6869185261041,12.0560944517242,4.83155647684616,7.66457916280113,0.000130191325982936,0.140578532944968
"14","PmetTSAr1.1-007313",21.2987771217661,3.94011262540396,0.699903155892468,40.9910555170798,1.48531675643577,0.951286996347505,0.249990102571984,3.04898908407875,-3.54101530909909,3.19303111460108,0.000111144514838378,0.140578532944968
