Gene,DataPlot,
1,7,
2,3,
3,6,
4,7,
5,10,
6,10,
7,8,
8,7,
9,1,
10,9,
11,10,
12,3,
13,3,
14,1,
15,3,
16,6,
17,6,
18,5,
19,8,
20,5,
21,1,
22,5,
23,9,
24,7,
25,7,
26,4,
27,5,
28,5,
29,2,
30,1,
31,6,
32,6,
33,6,
34,4,
35,4,
36,8,
37,5,
38,2,
39,9,
40,5,
41,2,
42,7,
43,9,
44,10,
45,5,
46,7,
47,9,
48,1,
49,3,
50,7,
51,4,
52,8,
53,2,
54,4,
55,5,
56,9,
57,5,
58,3,
59,1,
60,3,
61,1,
62,6,
63,10,
64,3,
65,7,
66,5,
67,3,
68,7,
69,4,
70,6,
71,4,
72,10,
73,7,
74,7,
75,10,
76,3,
77,6,
78,1,
79,8,
80,8,
81,9,
82,3,
83,2,
84,8,
85,3,
86,4,
87,4,
88,5,
89,8,
90,7,
91,7,
92,10,
93,8,
94,10,
95,5,
96,8,
97,3,
98,3,
99,8,
100,6,
